"Ano","CNAE","Motivo/Situação","Qte Acidentes","Situação","GrupoCnae","GrCnaeLetra"
"2006","0115:Cultivo de Soja","Típico-Com Cat","251","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0115:Cultivo de Soja","Doença do Trabalho-Com Cat","5","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0115:Cultivo de Soja","Trajeto-Com Cat","30","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0116:Cultivo de Oleaginosas de Lavoura Tempor","Típico-Com Cat","65","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0116:Cultivo de Oleaginosas de Lavoura Tempor","Trajeto-Com Cat","4","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0119:Cultivo de Plantas de Lavoura Temporária","Típico-Com Cat","427","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0119:Cultivo de Plantas de Lavoura Temporária","Doença do Trabalho-Com Cat","9","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0119:Cultivo de Plantas de Lavoura Temporária","Trajeto-Com Cat","48","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0121:Horticultura","Típico-Com Cat","119","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0121:Horticultura","Doença do Trabalho-Com Cat","9","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0121:Horticultura","Trajeto-Com Cat","30","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0122:Cultivo de Flores e Plantas Ornamentais","Típico-Com Cat","61","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0122:Cultivo de Flores e Plantas Ornamentais","Doença do Trabalho-Com Cat","5","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0122:Cultivo de Flores e Plantas Ornamentais","Trajeto-Com Cat","18","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0131:Cultivo de Laranja","Típico-Com Cat","1116","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0131:Cultivo de Laranja","Doença do Trabalho-Com Cat","8","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0131:Cultivo de Laranja","Trajeto-Com Cat","46","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0132:Cultivo de Uva","Típico-Com Cat","1057","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0132:Cultivo de Uva","Doença do Trabalho-Com Cat","13","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0132:Cultivo de Uva","Trajeto-Com Cat","125","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0133:Cultivo de Frutas de Lavoura Permanente,","Típico-Com Cat","825","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0133:Cultivo de Frutas de Lavoura Permanente,","Doença do Trabalho-Com Cat","13","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0133:Cultivo de Frutas de Lavoura Permanente,","Trajeto-Com Cat","57","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0134:Cultivo de Café","Típico-Com Cat","415","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0134:Cultivo de Café","Doença do Trabalho-Com Cat","8","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0134:Cultivo de Café","Trajeto-Com Cat","15","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0135:Cultivo de Cacau","Típico-Com Cat","32","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0135:Cultivo de Cacau","Trajeto-Com Cat","9","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0139:Cultivo de Plantas de Lavoura Permanente","Típico-Com Cat","198","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0139:Cultivo de Plantas de Lavoura Permanente","Doença do Trabalho-Com Cat","24","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0139:Cultivo de Plantas de Lavoura Permanente","Trajeto-Com Cat","29","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0141:Produção de Sementes Certificadas","Típico-Com Cat","1936","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0141:Produção de Sementes Certificadas","Doença do Trabalho-Com Cat","42","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0141:Produção de Sementes Certificadas","Trajeto-Com Cat","184","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0142:Produção de Mudas e Outras Formas de Pro","Típico-Com Cat","25","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0142:Produção de Mudas e Outras Formas de Pro","Trajeto-Com Cat","2","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0151:Criação de Bovinos","Típico-Com Cat","585","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0151:Criação de Bovinos","Doença do Trabalho-Com Cat","4","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0151:Criação de Bovinos","Trajeto-Com Cat","44","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0152:Criação de Outros Animais de Grande Port","Típico-Com Cat","19","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0152:Criação de Outros Animais de Grande Port","Trajeto-Com Cat","2","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0153:Criação de Caprinos e Ovinos","Típico-Com Cat","5","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0154:Criação de Suínos","Típico-Com Cat","69","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0154:Criação de Suínos","Doença do Trabalho-Com Cat","1","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0154:Criação de Suínos","Trajeto-Com Cat","3","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0155:Criação de Aves","Típico-Com Cat","860","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0155:Criação de Aves","Doença do Trabalho-Com Cat","166","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0155:Criação de Aves","Trajeto-Com Cat","133","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0159:Criação de Animais não Especificados Ant","Típico-Com Cat","16","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0159:Criação de Animais não Especificados Ant","Doença do Trabalho-Com Cat","1","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0159:Criação de Animais não Especificados Ant","Trajeto-Com Cat","2","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0161:Atividades de Apoio à Agricultura","Típico-Com Cat","7630","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0161:Atividades de Apoio à Agricultura","Doença do Trabalho-Com Cat","110","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0161:Atividades de Apoio à Agricultura","Trajeto-Com Cat","523","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0162:Atividades de Apoio à Pecuária","Típico-Com Cat","973","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0162:Atividades de Apoio à Pecuária","Doença do Trabalho-Com Cat","10","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0162:Atividades de Apoio à Pecuária","Trajeto-Com Cat","64","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0163:Atividades de Pós-Colheita","Típico-Com Cat","58","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0163:Atividades de Pós-Colheita","Doença do Trabalho-Com Cat","2","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0163:Atividades de Pós-Colheita","Trajeto-Com Cat","8","Com Cat Registrada","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0210:Produção Florestal - Florestas Plantadas","Típico-Com Cat","958","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0210:Produção Florestal - Florestas Plantadas","Doença do Trabalho-Com Cat","10","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0210:Produção Florestal - Florestas Plantadas","Trajeto-Com Cat","63","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0220:Produção Florestal - Florestas Nativas","Típico-Com Cat","39","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0220:Produção Florestal - Florestas Nativas","Trajeto-Com Cat","4","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0230:Atividades de Apoio à Produção Florestal","Típico-Com Cat","1790","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0230:Atividades de Apoio à Produção Florestal","Doença do Trabalho-Com Cat","37","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0230:Atividades de Apoio à Produção Florestal","Trajeto-Com Cat","119","Com Cat Registrada","PRODUÇÃO FLORESTAL","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0311:Pesca em água Salgada","Típico-Com Cat","78","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0311:Pesca em água Salgada","Doença do Trabalho-Com Cat","8","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0311:Pesca em água Salgada","Trajeto-Com Cat","9","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0321:AqüIcultura em água Salgada e Salobra","Típico-Com Cat","85","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0321:AqüIcultura em água Salgada e Salobra","Doença do Trabalho-Com Cat","18","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0321:AqüIcultura em água Salgada e Salobra","Trajeto-Com Cat","8","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0322:AqüIcultura em água Doce","Típico-Com Cat","16","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0322:AqüIcultura em água Doce","Doença do Trabalho-Com Cat","1","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0322:AqüIcultura em água Doce","Trajeto-Com Cat","3","Com Cat Registrada","PESCA E AQÜICULTURA","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA"
"2006","0500:Extração de Carvão Mineral","Típico-Com Cat","320","Com Cat Registrada","EXTRAÇÃO DE CARVÃO MINERAL","INDÚSTRIAS EXTRATIVAS"
"2006","0500:Extração de Carvão Mineral","Doença do Trabalho-Com Cat","14","Com Cat Registrada","EXTRAÇÃO DE CARVÃO MINERAL","INDÚSTRIAS EXTRATIVAS"
"2006","0500:Extração de Carvão Mineral","Trajeto-Com Cat","20","Com Cat Registrada","EXTRAÇÃO DE CARVÃO MINERAL","INDÚSTRIAS EXTRATIVAS"
"2006","0600:Extração de Petróleo e Gás Natural","Típico-Com Cat","664","Com Cat Registrada","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL","INDÚSTRIAS EXTRATIVAS"
"2006","0600:Extração de Petróleo e Gás Natural","Doença do Trabalho-Com Cat","39","Com Cat Registrada","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL","INDÚSTRIAS EXTRATIVAS"
"2006","0600:Extração de Petróleo e Gás Natural","Trajeto-Com Cat","66","Com Cat Registrada","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL","INDÚSTRIAS EXTRATIVAS"
"2006","0710:Extração de Minério de Ferro","Típico-Com Cat","730","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0710:Extração de Minério de Ferro","Doença do Trabalho-Com Cat","36","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0710:Extração de Minério de Ferro","Trajeto-Com Cat","40","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0721:Extração de Minério de Alumínio","Típico-Com Cat","73","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0721:Extração de Minério de Alumínio","Trajeto-Com Cat","3","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0722:Extração de Minério de Estanho","Típico-Com Cat","92","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0722:Extração de Minério de Estanho","Trajeto-Com Cat","4","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0723:Extração de Minério de Manganês","Típico-Com Cat","12","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0723:Extração de Minério de Manganês","Doença do Trabalho-Com Cat","4","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0723:Extração de Minério de Manganês","Trajeto-Com Cat","1","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0724:Extração de Minério de Metais Preciosos","Típico-Com Cat","355","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0724:Extração de Minério de Metais Preciosos","Doença do Trabalho-Com Cat","16","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0724:Extração de Minério de Metais Preciosos","Trajeto-Com Cat","11","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0725:Extração de Minerais Radioativos","Típico-Com Cat","41","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0725:Extração de Minerais Radioativos","Trajeto-Com Cat","2","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0729:Extração de Minerais Metálicos Não-Ferro","Típico-Com Cat","132","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0729:Extração de Minerais Metálicos Não-Ferro","Doença do Trabalho-Com Cat","5","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
"2006","0729:Extração de Minerais Metálicos Não-Ferro","Trajeto-Com Cat","4","Com Cat Registrada","EXTRAÇÃO DE MINERAIS METÁLICOS","INDÚSTRIAS EXTRATIVAS"
